user_id,w1_sessions,w2_sessions,engagement_velocity,total_sessions_30d,total_active_days_30d,consistency_rate,streak_to_days_ratio,sessions_per_active_day,session_gap_std,max_streak_30d,workout_density,duration_per_session,feature_adoption_score,workouts_logged,social_ratio,social_actions,milestone_rate,milestones_hit,routine_encoded,age,habit_score,churned_30d,retained_long_term,persona
1,6.0,3.0,-0.42857142857142855,15,12,0.4,0.15384615384615385,1.1538461538461537,1.1281521496355325,2,0.8125,36.56,2.2512917986064953,13,0.9375,15,0.16666666666666666,1,5,65,0.6002083333333333,0,1,power_user
2,1.0,0.0,-0.5,1,1,0.03333333333333333,0.5,0.5,10.0,1,0.0,7.48,0.6931471805599453,0,0.0,0,0.0,0,5,64,0.11397207708399179,0,0,at_risk_user
3,2.0,5.0,1.0,11,11,0.36666666666666664,0.16666666666666666,0.9166666666666666,1.8408935028645435,2,0.5833333333333334,22.19,2.0149030205422647,7,0.75,9,0.16666666666666666,1,2,51,0.5141666666666667,0,1,consistent_user
4,1.0,0.0,-0.5,6,5,0.16666666666666666,0.3333333333333333,1.0,5.887840577551898,2,0.2857142857142857,10.39,1.0986122886681098,2,0.14285714285714285,1,0.0,0,4,52,0.2857142857142857,0,0,casual_user
5,4.0,0.0,-0.8,4,3,0.1,0.25,1.0,0.7071067811865476,1,0.2,9.34,1.55814461804655,1,0.6,3,0.0,0,5,38,0.29000000000000004,1,0,casual_user
6,1.0,2.0,0.5,10,9,0.3,0.2,1.0,2.416461403433896,2,0.36363636363636365,10.54,1.791759469228055,4,0.5454545454545454,6,0.16666666666666666,1,0,34,0.4187878787878788,0,0,casual_user
7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,5,35,0.0,1,0,at_risk_user
8,5.0,4.0,-0.16666666666666666,19,17,0.5666666666666667,0.2222222222222222,1.0555555555555556,0.9105858919765157,4,0.7,34.77,2.322387720290225,14,0.95,19,0.3333333333333333,2,3,50,0.6566666666666666,0,1,power_user
9,0.0,0.0,0.0,1,1,0.03333333333333333,0.5,0.5,10.0,1,0.0,3.68,0.0,0,0.0,0,0.0,0,2,35,0.01,0,0,at_risk_user
10,3.0,2.0,-0.25,12,11,0.36666666666666664,0.16666666666666666,1.0,1.7919573407620817,2,0.46153846153846156,17.97,1.8458266904983307,6,0.7692307692307693,10,0.16666666666666666,1,1,44,0.4856410256410256,0,1,consistent_user
11,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,3,31,0.0,1,0,at_risk_user
12,1.0,0.0,-0.5,3,3,0.1,0.5,0.75,11.313708498984761,2,0.25,9.25,1.791759469228055,1,0.25,1,0.0,0,0,35,0.26749999999999996,0,0,casual_user
13,4.0,3.0,-0.2,15,12,0.4,0.3076923076923077,1.1538461538461537,2.769968821616459,4,0.375,23.91,2.0149030205422647,6,0.4375,7,0.3333333333333333,2,1,25,0.4741666666666666,0,1,consistent_user
14,2.0,2.0,0.0,7,7,0.23333333333333334,0.25,0.875,4.875106836436168,2,0.25,10.94,1.791759469228055,2,0.5,4,0.0,0,5,34,0.3325,0,0,casual_user
15,5.0,2.0,-0.5,9,8,0.26666666666666666,0.2222222222222222,1.0,1.3801311186847083,2,0.2,11.24,1.5686159179138452,2,0.5,5,0.0,0,1,33,0.32999999999999996,0,0,casual_user
16,2.0,4.0,0.6666666666666666,18,13,0.43333333333333335,0.2857142857142857,1.2857142857142858,2.059714602177749,4,0.7368421052631579,34.86,2.4849066497880004,14,0.8421052631578947,16,0.3333333333333333,2,4,46,0.6150877192982456,0,1,power_user
17,0.0,2.0,2.0,3,3,0.1,0.5,0.75,2.8284271247461903,2,0.25,9.54,0.0,1,0.0,0,0.0,0,3,53,0.0925,1,0,casual_user
18,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,4,41,0.0,1,0,at_risk_user
