user_id,event_date,day_of_onboarding,session_duration_min,features_used,n_features_used,workout_logged,goal_set,streak_day,social_action,coach_interaction
1,2024-06-12,1,29.37,"[""community_post"", ""goal_set"", ""milestone_reached"", ""video_watched"", ""coach_messaged"", ""workout_logged"", ""progress_photo"", ""challenge_joined""]",8,1,1,1,1,1
1,2024-06-14,3,38.96,"[""plan_customized"", ""workout_logged"", ""milestone_reached"", ""social_share"", ""coach_messaged"", ""goal_set"", ""community_post"", ""nutrition_tracked"", ""streak_maintained"", ""video_watched"", ""challenge_joined""]",11,1,1,1,1,1
1,2024-06-15,4,41.95,"[""nutrition_tracked"", ""streak_maintained"", ""social_share"", ""challenge_joined"", ""goal_set"", ""workout_logged"", ""plan_customized"", ""coach_messaged"", ""video_watched""]",9,1,1,2,1,1
1,2024-06-15,4,37.07,"[""nutrition_tracked"", ""streak_maintained"", ""social_share"", ""challenge_joined"", ""goal_set"", ""workout_logged"", ""plan_customized"", ""coach_messaged"", ""video_watched""]",9,1,1,2,1,1
1,2024-06-18,7,30.86,"[""community_post"", ""progress_photo"", ""milestone_reached"", ""goal_set"", ""coach_messaged"", ""workout_logged"", ""nutrition_tracked""]",7,1,1,1,1,1
1,2024-06-18,7,37.57,"[""community_post"", ""progress_photo"", ""milestone_reached"", ""goal_set"", ""coach_messaged"", ""workout_logged"", ""nutrition_tracked""]",7,1,1,1,1,1
1,2024-06-19,8,42.33,"[""plan_customized"", ""social_share"", ""goal_set"", ""workout_logged"", ""video_watched"", ""coach_messaged"", ""streak_maintained"", ""milestone_reached"", ""community_post""]",9,1,1,2,1,1
1,2024-06-21,10,37.7,"[""nutrition_tracked"", ""progress_photo"", ""challenge_joined"", ""streak_maintained"", ""plan_customized"", ""milestone_reached"", ""goal_set"", ""coach_messaged"", ""workout_logged"", ""community_post""]",10,1,1,1,1,1
1,2024-06-24,13,41.86,"[""community_post"", ""social_share"", ""streak_maintained"", ""progress_photo"", ""coach_messaged"", ""plan_customized"", ""challenge_joined"", ""nutrition_tracked"", ""goal_set"", ""milestone_reached"", ""video_watched""]",11,0,1,1,1,1
1,2024-06-29,18,43.26,"[""social_share"", ""workout_logged"", ""challenge_joined"", ""coach_messaged"", ""nutrition_tracked"", ""video_watched"", ""goal_set""]",7,1,1,1,1,1
