user_id,persona,age,fitness_routine,signup_date,total_sessions_30d,total_active_days_30d,avg_session_duration_min,total_duration_min,max_streak_30d,workouts_logged,social_actions,milestones_hit,milestone_details,churned_30d,retained_long_term
1,power_user,65,yoga,2024-06-12,15,12,36.56,548.41,2,13,15,1,"[{""day"": 18, ""milestone"": ""10th_session""}]",0,1
2,at_risk_user,64,yoga,2024-01-01,1,1,7.48,7.48,1,0,0,0,[],0,0
3,consistent_user,51,mixed,2024-05-20,11,11,22.19,244.04,2,7,9,1,"[{""day"": 27, ""milestone"": ""10th_session""}]",0,1
4,casual_user,52,strength,2024-01-15,6,5,10.39,62.36,2,2,1,0,[],0,0
5,casual_user,38,yoga,2024-05-29,4,3,9.34,37.37,1,1,3,0,[],1,0
6,casual_user,34,cardio,2024-02-03,10,9,10.54,105.43,2,4,6,1,"[{""day"": 30, ""milestone"": ""10th_session""}]",0,0
7,at_risk_user,35,yoga,2024-03-12,0,0,0.0,0.0,0,0,0,0,[],1,0
8,power_user,50,rehabilitation,2024-06-17,19,17,34.77,660.72,4,14,19,2,"[{""day"": 3, ""milestone"": ""3_day_streak""}, {""day"": 16, ""milestone"": ""10th_session""}]",0,1
9,at_risk_user,35,mixed,2024-05-13,1,1,3.68,3.68,1,0,0,0,[],0,0
10,consistent_user,44,hiit,2024-01-22,12,11,17.97,215.66,2,6,10,1,"[{""day"": 27, ""milestone"": ""10th_session""}]",0,1
11,at_risk_user,31,rehabilitation,2024-01-26,0,0,0.0,0.0,0,0,0,0,[],1,0
12,casual_user,35,cardio,2024-05-12,3,3,9.25,27.75,2,1,1,0,[],0,0
13,consistent_user,25,hiit,2024-03-21,15,12,23.91,358.67,4,6,7,2,"[{""day"": 14, ""milestone"": ""3_day_streak""}, {""day"": 17, ""milestone"": ""10th_session""}]",0,1
14,casual_user,34,yoga,2024-01-20,7,7,10.94,76.58,2,2,4,0,[],0,0
15,casual_user,33,hiit,2024-04-07,9,8,11.24,101.14,2,2,5,0,[],0,0
16,power_user,46,strength,2024-06-14,18,13,34.86,627.57,4,14,16,2,"[{""day"": 24, ""milestone"": ""10th_session""}, {""day"": 29, ""milestone"": ""3_day_streak""}]",0,1
17,casual_user,53,rehabilitation,2024-06-08,3,3,9.54,28.61,2,1,0,0,[],1,0
18,at_risk_user,41,strength,2024-03-30,0,0,0.0,0.0,0,0,0,0,[],1,0
19,consistent_user,31,cardio,2024-01-02,11,10,21.92,241.16,2,4,7,1,"[{""day"": 23, ""milestone"": ""10th_session""}]",0,1
20,consistent_user,35,mixed,2024-06-10,7,5,25.29,177.05,1,3,2,0,[],1,0
21,consistent_user,29,cardio,2024-01-05,18,15,20.64,371.61,4,12,12,3,"[{""day"": 5, ""milestone"": ""3_day_streak""}, {""day"": 15, ""milestone"": ""10th_session""}, {""day"": 24, ""milestone"": ""3_day_streak""}]",0,1
22,casual_user,42,hiit,2024-05-09,3,3,9.31,27.93,1,2,2,0,[],1,0
23,casual_user,49,yoga,2024-02-17,7,7,9.74,68.21,4,4,3,1,"[{""day"": 20, ""milestone"": ""3_day_streak""}]",0,0
24,power_user,27,rehabilitation,2024-05-25,16,14,34.62,553.97,3,10,15,1,"[{""day"": 28, ""milestone"": ""3_day_streak""}]",0,1
25,power_user,42,mixed,2024-01-25,17,16,37.41,635.9,6,13,16,2,"[{""day"": 17, ""milestone"": ""3_day_streak""}, {""day"": 17, ""milestone"": ""10th_session""}]",0,1
26,consistent_user,52,yoga,2024-02-24,17,13,22.34,379.81,3,10,8,2,"[{""day"": 18, ""milestone"": ""10th_session""}, {""day"": 25, ""milestone"": ""3_day_streak""}]",0,1
